npb_player_id,name_ja,team,position
1003800,佐藤　重雄,福岡ソフトバンクホークス,外野手
1003801,茅野　健一,埼玉西武ライオンズ,外野手
1003802,田村　友美,北海道日本ハムファイターズ,外野手
1003804,根来　広光,オリックス・バファローズ,
1003805,滝　良彦,毎日大映オリオンズ,
1003806,平出　凱夫,埼玉西武ライオンズ,外野手
1003807,高倉　照幸,東京ヤクルトスワローズ,外野手
1003808,中島　博征,福岡ソフトバンクホークス,外野手
1003809,笹原　恵通郎,北海道日本ハムファイターズ,外野手
1003820,菱川　章,北海道日本ハムファイターズ,外野手
1003821,板東　里視,大阪近鉄バファローズ,
1003822,R.マヒナス,東京ヤクルトスワローズ,外野手
1003823,Ｒ．ディサ,大阪近鉄バファローズ,
1003824,ブレイザー,福岡ソフトバンクホークス,外野手
1003825,鈴木　五朗,埼玉西武ライオンズ,外野手
1003826,松下　芳夫,近鉄バファローズ,外野手
1003827,宮下　陽吾,国鉄スワローズ,
1003828,三浦　正規,近鉄バファローズ,外野手
1003829,永易　将之,西鉄ライオンズ,
1003841,J.バビー,中日ドラゴンズ,外野手
1003842,T.ロブソン,福岡ソフトバンクホークス,外野手
1003843,西沢　正次,埼玉西武ライオンズ,外野手
1003844,J.ライトル,福岡ソフトバンクホークス,外野手
1003845,平野　光泰,近鉄バファローズ,外野手
1003846,レオン,東京ヤクルトスワローズ,外野手
1003847,松林　茂,中日ドラゴンズ,
1003849,村井　英司,北海道日本ハムファイターズ,外野手
1003860,M.パターソン,北海道日本ハムファイターズ,外野手
1003861,水谷　茂雄,南海ホークス,
1003862,M.ブロハード,東京ヤクルトスワローズ,外野手
1003863,引間　功侑,阪神タイガース,外野手
1003864,宮下　嗣朗,横浜ベイスターズ,外野手
1003865,森　浩二,東京ヤクルトスワローズ,
1003867,西村　博巳,横浜ベイスターズ,外野手
1003869,西本　和美,北海道日本ハムファイターズ,外野手
1003880,山内　泰幸,広島東洋カープ,
1003881,田吹　昭博,北海道日本ハムファイターズ,
1003882,細見　和史,埼玉西武ライオンズ,
1003883,大順　将弘,千葉ロッテマリーンズ,外野手
1003884,堀田　一郎,読売ジャイアンツ,外野手
1003886,中谷　仁,読売ジャイアンツ,外野手
1003888,古木　克明,オリックス・バファローズ,外野手
1003889,柳沢　裕一,中日ドラゴンズ,外野手
1005112,田中　靖洋,千葉ロッテマリーンズ,外野手
1005113,中島　宏之,中日ドラゴンズ,外野手
1005114,高崎　健太郎,横浜DeNAベイスターズ,外野手
1005116,豊島　明好,北海道日本ハムファイターズ,外野手
1005117,雄平,東京ヤクルトスワローズ,
1005119,平岡　政樹,読売ジャイアンツ,
1005130,髙濱　祐仁,北海道日本ハムファイターズ,外野手
1005132,髙山　俊,阪神タイガース,外野手
1005133,千賀　滉大,福岡ソフトバンクホークス,外野手
1005135,武田　翔太,福岡ソフトバンクホークス,外野手
1005136,高橋　礼,読売ジャイアンツ,外野手
1005138,土居　豪人,千葉ロッテマリーンズ,外野手
1005139,西原　圭大,広島東洋カープ,外野手
1005153,佐々木　健,埼玉西武ライオンズ,
11013800,小林　宣介,千葉ロッテマリーンズ,外野手
11013801,片岡　博国,千葉ロッテマリーンズ,外野手
11013802,鈴木　秀幸,東京ヤクルトスワローズ,外野手
11013804,中本　冨士雄,広島東洋カープ,
11013805,鈴木　康司,大洋松竹ロビンス,
11013806,難波　昭二郎,埼玉西武ライオンズ,外野手
11013807,鈴木　実,読売ジャイアンツ,
11013808,巽　一,東京ヤクルトスワローズ,
11013809,児玉　泰,中日ドラゴンズ,
11013820,野田　征稔,阪神タイガース,外野手
11013821,波山　次郎,大洋ホエールズ,
11013822,深代　芳史,阪急ブレーブス,
11013823,谷車　明,阪神タイガース,外野手
11013824,原田　秀行,南海ホークス,
11013825,柴田　勲,読売ジャイアンツ,
11013826,野上　俊夫,南海ホークス,
