player_id,name_ja,action,roman_short,birth_date_raw,pro_debut_raw,path
01005153,佐々木　健,updated,T.Sasaki,1996年5月13日,2020年ドラフト2位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_01005153.json
1003884,堀田　一郎,updated,I.Horita,1974年4月18日,1996年ドラフト6位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1003884.json
1003886,中谷　仁,updated,J.Nakatani,1979年5月5日,1997年ドラフト1位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1003886.json
1003888,古木　克明,updated,K.Furuki,1980年11月10日,1998年ドラフト1位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1003888.json
1003889,柳沢　裕一,updated,Y.Yanagisawa,1971年8月2日,1993年ドラフト2位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1003889.json
1005112,田中　靖洋,updated,Y.Tanaka,1987年6月21日,2005年高校生ドラフト4巡目,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005112.json
1005113,中島　宏之,updated,H.Nakajima,1982年7月31日,2000年ドラフト5位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005113.json
1005114,高崎　健太郎,updated,K.Takasaki,1985年6月24日,2006年大学生・社会人ドラフト希望枠,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005114.json
1005116,豊島　明好,updated,A.Toyoshima,1990年1月16日,2007年高校生ドラフト6巡目,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005116.json
1005117,雄平,updated,Y.Yuuhei（takai,1984年6月25日,2002年ドラフト1巡目,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005117.json
1005130,髙濱　祐仁,updated,Y.Takahama,1996年8月8日,2014年ドラフト7位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005130.json
1005132,髙山　俊,updated,S.Takayama,1993年4月18日,2015年ドラフト1位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005132.json
1005133,千賀　滉大,updated,K.Senga,1993年1月30日,2010年育成選手ドラフト4位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005133.json
1005134,高橋　昂也,updated,K.Takahashi,1998年9月27日,2016年ドラフト2位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005134.json
1005135,武田　翔太,updated,S.Takeda,1993年4月3日,2011年ドラフト1位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005135.json
1005136,高橋　礼,updated,R.Takahashi,1995年11月2日,2017年ドラフト2位,C:\dev\TopPage\_data\derived\player_profile\merged\npb_1005136.json
