year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR
2018,CL,東京ヤクルトスワローズ,1005117,雄平,Y.Yuuhei（takai,125.0,482.0,446.0,50.0,142.0,19.0,1.0,11.0,196.0,67.0,6,1,0.0,2.0,33.0,0,1.0,62.0,13.0,0.318,0.365,0.439,0.804,111.0,0.121,0.046999999999999986,0.486,6.846473029045644,12.863070539419086,0.532258064516129,0.34933333333333333,0.274,511.3333333333333,0.19730941704035873,0.7287066246056783,0.318,142.0,11.0,67.0,125.0,482.0,446.0,111.0,19.0,1.0,50.0,0.365,0.439,33.0,0,1.0,,196.0,6,1,0.0,2.0,,71.60751565762004,67.66800000000002
2018,CL,阪神タイガース,1005132,髙山　俊,S.Takayama,45.0,134.0,128.0,8.0,22.0,5.0,0.0,1.0,30.0,14.0,0,1,0.0,1.0,4.0,0,1.0,22.0,4.0,0.172,0.201,0.234,0.43500000000000005,16.0,0.06200000000000003,0.029000000000000026,0.263,2.9850746268656714,16.417910447761194,0.18181818181818182,0.19811320754716982,0.14895,279.0,0.1015625,0.32727272727272727,0.172,22.0,1.0,14.0,45.0,134.0,128.0,16.0,5.0,0.0,8.0,0.201,0.234,4.0,0,1.0,,30.0,0,1,0.0,1.0,,5.909090909090909,4.481999999999999
2018,CL,広島東洋カープ,1005134,高橋　昂也,K.Takahashi,6.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.2,0.2,0.2,0.4,1.0,0.0,0.0,0.2,0.0,40.0,0.0,0.3333333333333333,0.14,266.6666666666667,0.0,0.25,0.2,1.0,0.0,0.0,6.0,5.0,5.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0,0.0,,1.0,0.0,0,0.0,0.0,,0.2,0.10799999999999998
2018,CL,横浜DeNAベイスターズ,11015116,田中　健二朗,K.Tanaka,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,0.0,0.0,nan,nan,,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,nan,0.0
2018,CL,広島東洋カープ,1103888,新井　貴浩,T.Arai,63.0,132.0,114.0,7.0,25.0,3.0,1.0,4.0,42.0,24.0,0.0,0,0.0,4.0,14.0,0,0.0,26.0,4.0,0.219,0.295,0.368,0.663,17.0,0.149,0.07599999999999998,0.4439999999999999,10.606060606060606,19.696969696969695,0.5384615384615384,0.23863636363636365,0.22475,417.66666666666663,0.2719298245614035,0.6021505376344086,0.219,25.0,4.0,24.0,63.0,132.0,114.0,17.0,3.0,1.0,7.0,0.295,0.368,14.0,0,0.0,,42.0,0.0,0,0.0,4.0,,12.796875,13.358000000000002
2018,CL,広島東洋カープ,1105115,天谷　宗一郎,S.Amaya,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0,0.0,0.0,,0.0,-0.098
2018,CL,横浜DeNAベイスターズ,1105130,飯塚　悟史,S.Iizuka,9.0,15.0,15.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,9.0,0.0,0.133,0.133,0.2,0.333,1.0,0.067,0.0,0.2,0.0,60.0,0.0,0.3333333333333333,0.10985,199.66666666666666,0.06666666666666667,0.23076923076923078,0.133,2.0,0.0,0.0,9.0,15.0,15.0,1.0,1.0,0.0,0.0,0.133,0.2,0.0,0,0.0,,3.0,0.0,0,0.0,0.0,,0.4,-0.05400000000000005
2018,CL,東京ヤクルトスワローズ,1105131,荒木　貴裕,T.Araki,62.0,109.0,87.0,12.0,19.0,3.0,0.0,3.0,31.0,21.0,3,0,3.0,2.0,13.0,0,4.0,27.0,2.0,0.218,0.34,0.356,0.696,13.0,0.13799999999999998,0.12200000000000003,0.478,11.926605504587156,24.770642201834864,0.48148148148148145,0.2711864406779661,0.24200000000000002,458.6666666666667,0.28735632183908044,0.6857142857142857,0.218,19.0,3.0,21.0,62.0,109.0,87.0,13.0,3.0,0.0,12.0,0.34,0.356,13.0,0,4.0,,31.0,3,0,3.0,2.0,,9.92,11.925999999999998
2018,CL,横浜DeNAベイスターズ,1105133,荒波　翔,S.Aranami,11.0,13.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,0,0.0,4.0,0.0,0.0,0.154,0.0,0.154,0.0,0.0,0.154,0.154,15.384615384615385,30.76923076923077,0.5,0.0,0.0693,154.0,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,11.0,13.0,11.0,0.0,0.0,0.0,1.0,0.154,0.0,2.0,0,0.0,,0.0,1.0,0,0.0,0.0,,0.0,-0.238
2018,CL,読売ジャイアンツ,1105135,石川　慎吾,S.Ishikawa,17.0,28.0,26.0,1.0,5.0,1.0,1.0,0.0,8.0,0.0,0.0,0,0.0,0.0,2.0,0,0.0,6.0,1.0,0.192,0.25,0.308,0.558,3.0,0.11599999999999999,0.057999999999999996,0.366,7.142857142857142,21.428571428571427,0.3333333333333333,0.25,0.1895,352.6666666666667,0.19230769230769232,0.45454545454545453,0.192,5.0,0.0,0.0,17.0,28.0,26.0,3.0,1.0,1.0,1.0,0.25,0.308,2.0,0,0.0,,8.0,0.0,0,0.0,0.0,,2.0,1.8619999999999997
